Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"October 9, 2018 / 4:10pm",Axe Avenge 2017,,,,59.2,,,7,,,-27,3.19,0.14,16,64
"October 9, 2018 / 4:10pm",Axe Avenge 2017,,,,62.3,,,11,,,-25,3.54,0.14,16.4,65
"October 9, 2018 / 4:10pm",Axe Avenge 2017,,,,57.8,,,7,,,-24,3.17,0.13,16.6,74
"October 9, 2018 / 4:09pm",Axe Avenge 2017,,,,60.9,,,12,,,-18,3.24,0.15,16.8,69
"October 9, 2018 / 4:07pm",Axe Avenge 2017,,,,72.9,,,2,,,-11,4.64,0.15,16.5,68
"October 9, 2018 / 4:07pm",Axe Avenge 2017,,,,65.9,,,7,,,-7,3.26,0.17,17.4,63
"October 9, 2018 / 4:07pm",Axe Avenge 2017,,,,63.4,,,1,,,-5,2.98,0.17,15.5,55
"October 9, 2018 / 4:07pm",Axe Avenge 2017,,,,65.1,,,3,,,-8,3.18,0.17,16.5,58
"October 9, 2018 / 4:04pm",Axe Avenge 2017,,,,60,,,9,,,-25,3.38,0.14,17.3,64
"October 9, 2018 / 4:04pm",Axe Avenge 2017,,,,54.4,,,6,,,-19,2.95,0.13,14,74
"October 9, 2018 / 4:04pm",Axe Avenge 2017,,,,60.7,,,7,,,-34,3.27,0.14,17,60
"October 9, 2018 / 4:02pm",Axe Avenge 2017,,,,61.3,,,7,,,-12,2.75,0.17,17.6,58
"October 9, 2018 / 4:02pm",Axe Avenge 2017,,,,60.4,,,1,,,-18,2.7,0.17,17.1,52
"October 9, 2018 / 4:01pm",Axe Avenge 2017,,,,63.5,,,7,,,-16,2.73,0.19,17.5,55
"October 9, 2018 / 4:01pm",Axe Avenge 2017,,,,56.9,,,2,,,-10,2.75,0.15,16.8,60
"October 9, 2018 / 3:56pm",Axe Avenge 2017,,,,63.9,,,7,,,-37,3.33,0.16,15.5,69
"October 9, 2018 / 3:56pm",Axe Avenge 2017,,,,59.6,,,15,,,-27,3.11,0.15,16.1,59
"October 9, 2018 / 3:55pm",Axe Avenge 2017,,,,65.4,,,11,,,-37,3.78,0.14,15.8,74
"October 9, 2018 / 3:55pm",Axe Avenge 2017,,,,61.3,,,5,,,-16,2.89,0.17,16,58
"October 9, 2018 / 3:55pm",Axe Avenge 2017,,,,59.2,,,8,,,-18,2.86,0.16,16.4,60
"October 9, 2018 / 3:54pm",Axe Avenge 2017,,,,58.9,,,3,,,-22,2.83,0.16,16.1,51
