Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"February 18, 2019 / 9:15am",Axe Avenge 2019 ,57,58,65,57.4,20.4,74,7,86,99,-40,3.28,0.13,23.4,70
"February 18, 2019 / 9:15am",Axe Avenge 2019 ,42,55,70,69.1,23.3,55,17,94,103,-39,4.76,0.13,24.7,82
"February 18, 2019 / 9:15am",Axe Avenge 2019 ,51,60,67,60.1,21.5,66,9,89,98,-41,3.44,0.13,24.8,67
"February 18, 2019 / 9:15am",Axe Avenge 2019 ,52,56,63,64.2,19.5,67,14,82,98,-50,3.92,0.13,21.5,83
"February 18, 2019 / 9:02am",Axe Avenge 2019 ,51,51,67,63.6,21.3,66,10,83,105,-44,3.85,0.13,24.9,83
"February 18, 2019 / 9:02am",Axe Avenge 2019 ,47,53,73,65.9,24.7,61,8,90,109,-45,4.53,0.12,25.5,85
"February 18, 2019 / 9:02am",Axe Avenge 2019 ,62,52,73,61.5,24.4,80,2,77,99,-42,3.95,0.12,24.8,76
"February 18, 2019 / 9:00am",Axe Avenge 2019 ,57,63,64,64.3,20.1,74,9,90,95,-38,4.06,0.13,24.9,78
"February 18, 2019 / 9:00am",Axe Avenge 2019 ,61,61,67,65.9,21.8,79,1,87,96,-42,4.62,0.12,24.8,79
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,56,62,59,65.3,17.4,73,7,90,97,-40,4.18,0.13,24.7,83
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,47,58,76,65.5,26.3,62,12,86,98,-38,4.48,0.12,25.6,78
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,57,57,67,66.8,21.7,73,7,81,95,-41,4.59,0.12,25.5,85
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,53,65,62,66.7,18.7,69,13,91,91,-26,4.17,0.14,23.7,85
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,48,61,66,63.4,20.8,63,13,96,92,-24,3.94,0.13,22.5,79
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,48,62,72,66.2,23.9,62,17,92,96,-33,4.5,0.12,23.5,77
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,63,57,69,63.9,22.5,81,0,84,98,-42,4.48,0.12,25.1,79
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,49,59,81,60.4,29,63,11,88,99,-39,3.75,0.12,24.7,76
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,47,59,68,76.4,22.2,62,23,98,86,-27,5.99,0.12,22.8,78
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,51,57,69,69.5,22.5,66,18,102,87,-23,4.89,0.13,22.4,77
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,52,58,70,68.9,23.1,67,14,101,92,-29,4.97,0.12,24.2,84
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,47,59,72,75.5,23.9,62,20,100,90,-26,6.06,0.12,23.9,79
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,59,65,66,69.9,21,77,8,89,89,-35,5.02,0.12,25.4,83
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,58,63,60,69.3,17.9,75,11,91,95,-30,4.78,0.13,24.8,85
"February 18, 2019 / 8:57am",Axe Avenge 2019 ,58,61,66,68.9,21.2,76,7,88,96,-37,5.04,0.12,25.1,85
"February 18, 2019 / 8:57am",Axe Avenge 2019 ,48,53,74,72,25.4,62,16,101,99,-29,5.61,0.12,24.3,83
"February 18, 2019 / 8:57am",Axe Avenge 2019 ,57,62,72,71.9,24.2,74,14,87,93,-34,5.4,0.12,25,85
"February 18, 2019 / 8:56am",Axe Avenge 2019 ,57,64,70,70.7,22.9,75,7,88,92,-33,5.5,0.12,25,85
"February 18, 2019 / 8:55am",Axe Avenge 2019 ,49,57,76,65.3,26.2,64,15,98,96,-26,4.38,0.12,23.3,77
"February 18, 2019 / 8:55am",Axe Avenge 2019 ,58,62,67,70.6,21.6,75,11,89,95,-39,5.2,0.12,25.3,83
"February 18, 2019 / 8:55am",Axe Avenge 2019 ,43,58,68,71.8,21.9,57,20,101,92,-29,5.06,0.13,23.7,78
"February 18, 2019 / 8:55am",Axe Avenge 2019 ,56,57,67,69.7,21.5,73,9,98,96,-35,5.07,0.12,24.6,85
"February 18, 2019 / 8:55am",Axe Avenge 2019 ,57,56,66,69.8,21,73,9,85,100,-43,5,0.12,25.5,85
"February 18, 2019 / 8:55am",Axe Avenge 2019 ,53,58,61,69.1,18.4,69,15,93,99,-26,4.76,0.13,24.1,83
"February 18, 2019 / 8:51am",Axe Avenge 2019 ,50,61,69,70.8,22.5,65,15,98,89,-37,5.33,0.12,23.5,84
"February 18, 2019 / 8:51am",Axe Avenge 2019 ,48,57,66,70.2,21,63,12,99,95,-30,4.9,0.13,23.4,85
"February 18, 2019 / 8:51am",Axe Avenge 2019 ,43,52,71,68.4,23.5,56,17,106,95,-29,4.73,0.13,21.6,82
"February 18, 2019 / 8:51am",Axe Avenge 2019 ,47,57,74,64.7,25.3,62,15,101,93,-26,4.17,0.13,21,78
"February 18, 2019 / 8:50am",Axe Avenge 2019 ,39,48,67,70,21.8,52,27,110,84,-21,5.11,0.12,21.8,76
"February 18, 2019 / 8:50am",Axe Avenge 2019 ,55,54,63,64.1,19.2,72,10,107,89,-24,4.16,0.13,22,85
"February 18, 2019 / 8:50am",Axe Avenge 2019 ,48,50,68,66.5,22.3,62,14,109,94,-22,4.78,0.12,22,80
"February 18, 2019 / 8:50am",Axe Avenge 2019 ,56,61,65,65.5,20.3,73,8,99,90,-32,4.48,0.12,23.9,85
"February 18, 2019 / 8:50am",Axe Avenge 2019 ,40,57,70,70.5,23.1,52,22,104,90,-29,5.1,0.12,22.4,78
"February 18, 2019 / 8:50am",Axe Avenge 2019 ,43,59,74,69.4,25.1,56,23,100,90,-26,4.88,0.13,23.3,78
"February 18, 2019 / 8:50am",Axe Avenge 2019 ,54,50,75,66.2,25.6,71,3,107,96,-37,4.99,0.11,24.5,81
"February 18, 2019 / 8:50am",Axe Avenge 2019 ,44,46,71,63.9,23.9,57,12,111,98,-34,4.19,0.12,23.2,82
"February 18, 2019 / 8:50am",Axe Avenge 2019 ,51,48,67,65,21.4,66,6,106,100,-37,4.42,0.12,24.1,85
"February 18, 2019 / 8:46am",Axe Avenge 2019 ,43,67,75,61.2,25.7,57,23,90,90,-31,3.51,0.14,23,67
"February 18, 2019 / 8:45am",Axe Avenge 2019 ,55,58,67,63.2,21.4,71,9,87,99,-38,3.97,0.13,24.4,84
"February 18, 2019 / 8:45am",Axe Avenge 2019 ,49,57,71,60.4,23.7,64,12,93,101,-36,3.63,0.13,23.6,74
"February 18, 2019 / 8:45am",Axe Avenge 2019 ,52,57,68,62,22.2,68,8,88,102,-44,3.83,0.13,24.4,82
"February 18, 2019 / 8:45am",Axe Avenge 2019 ,39,59,70,62.9,22.9,51,18,91,99,-40,3.71,0.14,24,77
"February 18, 2019 / 8:45am",Axe Avenge 2019 ,51,58,73,65.1,24.7,66,11,92,101,-40,4.22,0.13,24,85
"February 18, 2019 / 8:45am",Axe Avenge 2019 ,52,59,71,60.7,23.4,68,13,87,98,-37,3.67,0.13,23.8,74
"February 18, 2019 / 8:45am",Axe Avenge 2019 ,53,54,70,62.8,23.2,69,6,82,100,-46,3.99,0.13,24.6,85
"February 18, 2019 / 8:45am",Axe Avenge 2019 ,45,57,77,65.9,26.7,59,13,88,101,-43,4.4,0.13,25.3,85
"February 18, 2019 / 8:45am",Axe Avenge 2019 ,51,55,69,60.4,22.8,67,10,82,100,-44,3.53,0.13,24.1,73
"February 18, 2019 / 8:38am",Axe Avenge 2019 ,47,45,57,69.4,16.3,61,18,113,97,-41,4.51,0.14,23.3,80
"February 18, 2019 / 8:38am",Axe Avenge 2019 ,29,41,62,70.9,19.1,38,21,115,101,-36,4.79,0.13,24.1,78
"February 18, 2019 / 8:38am",Axe Avenge 2019 ,57,59,47,62.1,11,74,10,100,91,-26,3.51,0.14,18.9,77
"February 18, 2019 / 8:38am",Axe Avenge 2019 ,57,46,51,65.7,13.1,74,7,111,98,-44,4.16,0.13,21.2,85
"February 18, 2019 / 8:38am",Axe Avenge 2019 ,34,47,59,66.1,17.3,45,18,109,98,-42,4.09,0.14,21.8,81
"February 18, 2019 / 8:38am",Axe Avenge 2019 ,49,51,64,69.1,19.8,63,13,107,95,-38,4.41,0.14,24.2,85
"February 18, 2019 / 8:38am",Axe Avenge 2019 ,48,58,61,61.6,18.6,62,15,98,95,-48,3.61,0.13,21.1,77
"February 18, 2019 / 8:38am",Axe Avenge 2019 ,37,55,68,68.6,22,49,21,102,96,-33,4.48,0.13,23.3,78
"February 18, 2019 / 8:37am",Axe Avenge 2019 ,43,43,57,70.3,16.3,57,21,122,91,-34,4.7,0.13,22.6,74
"February 18, 2019 / 8:37am",Axe Avenge 2019 ,45,48,57,70.7,16.5,59,17,112,95,-45,4.82,0.13,23,82
"February 18, 2019 / 8:37am",Axe Avenge 2019 ,47,50,61,69.8,18.3,61,15,111,92,-34,4.5,0.14,22.3,84
"February 18, 2019 / 8:37am",Axe Avenge 2019 ,50,55,57,67.2,16.1,65,17,106,92,-41,4.11,0.14,21.4,82
"February 18, 2019 / 8:37am",Axe Avenge 2019 ,51,56,66,65,20.9,67,14,103,93,-40,4.02,0.13,22.4,85
"February 18, 2019 / 8:36am",Axe Avenge 2019 ,51,55,66,67.3,20.8,66,13,104,93,-47,4.44,0.13,22.5,85
"February 18, 2019 / 8:36am",Axe Avenge 2019 ,54,61,53,64.8,14.1,71,14,98,89,-30,3.72,0.14,20.5,81
"February 18, 2019 / 8:36am",Axe Avenge 2019 ,46,55,63,63.4,19.5,61,13,101,95,-41,3.94,0.13,21.2,80
"February 18, 2019 / 8:36am",Axe Avenge 2019 ,48,54,62,66,19,62,12,102,96,-40,4.21,0.13,22.8,85
"February 18, 2019 / 8:36am",Axe Avenge 2019 ,49,56,56,63.8,15.9,64,29,102,92,-24,3.93,0.13,17.9,72
"February 18, 2019 / 8:36am",Axe Avenge 2019 ,49,50,48,65.3,11.4,64,7,108,95,-44,4,0.14,19.8,85
"February 18, 2019 / 8:36am",Axe Avenge 2019 ,46,48,53,66.6,14.1,60,12,109,98,-45,4.28,0.13,20.1,85
"February 18, 2019 / 8:36am",Axe Avenge 2019 ,52,52,53,66.2,14.1,68,12,103,97,-43,4.29,0.13,20.3,84
"February 18, 2019 / 8:36am",Axe Avenge 2019 ,53,53,55,63.5,15.5,68,12,101,98,-42,3.83,0.13,20.7,83
"February 18, 2019 / 8:23am",Axe Avenge 2019 ,56,54,55,64.9,15,73,17,104,94,-23,3.95,0.14,19.9,78
"February 18, 2019 / 8:23am",Axe Avenge 2019 ,45,37,43,66.2,9.1,58,14,122,101,-20,4.05,0.14,20.2,85
"February 18, 2019 / 8:23am",Axe Avenge 2019 ,47,46,52,64.8,13.5,61,16,112,97,-21,4.39,0.12,19.5,83
"February 18, 2019 / 8:23am",Axe Avenge 2019 ,50,48,42,67,8.3,65,18,111,95,-21,3.97,0.14,19.2,80
"February 18, 2019 / 8:23am",Axe Avenge 2019 ,53,47,52,67.2,13.7,68,16,111,96,-26,4.11,0.14,19.4,83
"February 18, 2019 / 8:23am",Axe Avenge 2019 ,51,52,43,67.5,9.1,66,16,109,92,-23,4.09,0.14,19.4,83
"February 18, 2019 / 8:22am",Axe Avenge 2019 ,54,46,47,65.1,11.2,70,12,111,97,-25,3.91,0.14,19.6,84
"February 18, 2019 / 8:22am",Axe Avenge 2019 ,51,49,42,64.3,8.6,66,11,110,96,-22,4.06,0.13,20.8,85
"February 18, 2019 / 8:22am",Axe Avenge 2019 ,44,35,45,65.9,10.1,57,11,120,105,-24,4.07,0.14,19.7,85
"February 18, 2019 / 8:22am",Axe Avenge 2019 ,48,47,55,65.7,15.1,62,15,110,97,-22,4.04,0.14,20.4,84
"February 18, 2019 / 8:22am",Axe Avenge 2019 ,43,44,51,65.2,13.1,56,14,113,99,-20,3.99,0.14,20,85
"February 18, 2019 / 8:22am",Axe Avenge 2019 ,41,42,47,66.5,11.1,54,17,114,100,-23,4.08,0.14,19.6,81
"February 18, 2019 / 8:21am",Axe Avenge 2019 ,50,50,49,66.1,12.1,65,16,107,97,-24,4.22,0.13,19,83
"February 18, 2019 / 8:21am",Axe Avenge 2019 ,42,41,52,65.6,13.7,55,14,115,101,-20,3.98,0.14,20.7,84
"February 18, 2019 / 8:21am",Axe Avenge 2019 ,47,50,47,64.7,10.8,61,15,108,95,-22,4.24,0.13,20.2,84
"February 18, 2019 / 8:21am",Axe Avenge 2019 ,50,51,48,66,11.6,65,16,106,96,-22,4.02,0.14,20.3,82
"February 18, 2019 / 8:21am",Axe Avenge 2019 ,46,43,44,66.2,9.5,60,16,114,100,-20,3.88,0.14,19.9,81
"February 18, 2019 / 8:19am",Axe Avenge 2019 ,44,50,53,66,14.1,57,4,109,94,-38,4.21,0.13,21.4,83
"February 18, 2019 / 8:18am",Axe Avenge 2019 ,36,36,45,70.8,10.1,48,10,121,102,-39,4.7,0.14,21.6,85
"February 18, 2019 / 8:18am",Axe Avenge 2019 ,43,52,44,65.9,9.7,56,12,105,95,-40,3.95,0.14,20.7,84
"February 17, 2019 / 3:08pm",Rawlings - Velo HS/Collegiate BBCor,40,47,42,64.7,8.4,52,7,110,98,-41,3.61,0.15,18.5,80
"February 17, 2019 / 3:08pm",Rawlings - Velo HS/Collegiate BBCor,39,57,41,63.4,7.6,51,11,100,94,-44,3.37,0.15,18.2,77
"February 17, 2019 / 3:08pm",Rawlings - Velo HS/Collegiate BBCor,36,37,46,63.3,10.4,47,10,114,108,-39,3.65,0.14,18.4,80
"February 17, 2019 / 3:07pm",Rawlings - Velo HS/Collegiate BBCor,36,54,43,60.7,8.9,48,13,96,102,-38,3.17,0.15,19.1,74
"February 17, 2019 / 3:07pm",Rawlings - Velo HS/Collegiate BBCor,45,65,43,58.4,9.1,59,9,93,90,-39,2.94,0.15,17,71
"February 17, 2019 / 3:06pm",Rawlings - Velo HS/Collegiate BBCor,35,55,41,67,7.9,47,11,104,92,-38,3.72,0.15,19.7,72
"February 17, 2019 / 3:06pm",Rawlings - Velo HS/Collegiate BBCor,26,47,44,65.8,9.6,35,13,110,97,-36,3.73,0.15,19.8,75
"February 17, 2019 / 3:05pm",Rawlings - Velo HS/Collegiate BBCor,40,59,67,60.6,21.5,52,21,89,101,-40,3.44,0.14,19.6,71
"February 17, 2019 / 3:04pm",Rawlings - Velo HS/Collegiate BBCor,55,62,58,62.9,16.5,72,18,90,97,-39,3.71,0.14,19.7,70
"February 17, 2019 / 3:04pm",Rawlings - Velo HS/Collegiate BBCor,48,58,56,58.6,15.5,63,18,93,100,-36,3.04,0.14,19.7,67
"February 17, 2019 / 3:04pm",Rawlings - Velo HS/Collegiate BBCor,57,54,57,62.2,16.5,73,16,73,91,-38,3.73,0.13,19.7,72
"February 17, 2019 / 3:03pm",Rawlings - Velo HS/Collegiate BBCor,56,60,55,59.7,15.5,73,14,82,92,-37,3.49,0.13,18.7,71
"February 17, 2019 / 3:03pm",Rawlings - Velo HS/Collegiate BBCor,58,53,61,62.7,18.1,76,13,72,92,-35,4.1,0.12,20.8,78
"February 17, 2019 / 3:03pm",Rawlings - Velo HS/Collegiate BBCor,54,50,50,58,12.5,69,16,84,108,-48,3.02,0.14,18.9,70
"February 17, 2019 / 3:02pm",Rawlings - Velo HS/Collegiate BBCor,45,44,55,58.1,15.3,59,16,100,111,-44,3.07,0.14,20.2,71
"February 17, 2019 / 3:02pm",Rawlings - Velo HS/Collegiate BBCor,55,51,62,59.6,18.9,71,18,78,99,-46,3.48,0.13,19.8,74
"February 17, 2019 / 3:02pm",Rawlings - Velo HS/Collegiate BBCor,50,51,52,55.6,13.5,65,16,88,110,-43,2.86,0.14,17.9,66
"February 17, 2019 / 3:02pm",Rawlings - Velo HS/Collegiate BBCor,36,44,56,57.2,15.6,48,18,101,110,-45,2.89,0.14,17.6,64
"February 17, 2019 / 3:01pm",Rawlings - Velo HS/Collegiate BBCor,46,54,56,55.8,15.7,60,14,86,104,-42,2.71,0.15,17.6,66
"February 17, 2019 / 2:59pm",Rawlings - Velo HS/Collegiate BBCor,61,65,60,60.2,18.1,79,4,92,88,-36,3.61,0.13,18.5,74
"February 17, 2019 / 2:59pm",Rawlings - Velo HS/Collegiate BBCor,53,59,58,68.4,16.7,69,6,98,93,-38,4.38,0.14,21.8,73
"February 17, 2019 / 2:58pm",Rawlings - Velo HS/Collegiate BBCor,53,52,60,62.5,17.6,69,-1,103,97,-43,3.84,0.13,21.3,76
"February 17, 2019 / 2:58pm",Rawlings - Velo HS/Collegiate BBCor,62,64,39,56.2,6.7,80,18,88,93,-29,2.68,0.15,15.8,64
"February 17, 2019 / 2:58pm",Rawlings - Velo HS/Collegiate BBCor,55,53,66,66.3,21,71,7,102,98,-34,4.24,0.13,20.8,85
"February 17, 2019 / 2:51pm",Rawlings - Velo HS/Collegiate BBCor,58,49,54,68.7,14.8,75,5,106,99,-40,4.7,0.13,21.5,78
"February 17, 2019 / 2:51pm",Rawlings - Velo HS/Collegiate BBCor,58,65,67,68.5,21.3,75,7,93,90,-38,4.53,0.13,21.8,79
"February 17, 2019 / 2:51pm",Rawlings - Velo HS/Collegiate BBCor,65,63,61,63.5,18.5,84,3,91,94,-35,4.08,0.13,22.2,75
"February 17, 2019 / 2:51pm",Rawlings - Velo HS/Collegiate BBCor,60,56,65,65,20.5,78,3,98,97,-37,4.49,0.12,20.8,82
"February 17, 2019 / 2:51pm",Rawlings - Velo HS/Collegiate BBCor,58,42,61,68,18.6,75,4,108,106,-41,4.76,0.12,22.8,79
"February 17, 2019 / 2:35pm",Rawlings - Velo HS/Collegiate BBCor,38,35,55,67.7,15.3,50,12,118,107,-48,4.17,0.14,20.9,74
"February 17, 2019 / 2:35pm",Rawlings - Velo HS/Collegiate BBCor,27,38,68,61.5,22.2,36,13,113,107,-36,3.44,0.14,18.8,75
"February 17, 2019 / 2:35pm",Rawlings - Velo HS/Collegiate BBCor,44,31,51,68.9,13,57,6,120,110,-39,4.52,0.13,22.2,77
"February 17, 2019 / 2:35pm",Rawlings - Velo HS/Collegiate BBCor,51,51,65,66.5,20.5,66,2,108,95,-37,4.62,0.12,21.9,74
"February 17, 2019 / 2:35pm",Rawlings - Velo HS/Collegiate BBCor,47,45,63,65.4,19.5,61,5,114,97,-41,4.26,0.13,21.3,74
"February 17, 2019 / 2:35pm",Rawlings - Velo HS/Collegiate BBCor,40,34,64,66.3,19.7,53,13,122,104,-42,4.37,0.13,20.8,75
"February 17, 2019 / 2:35pm",Rawlings - Velo HS/Collegiate BBCor,33,44,66,62.8,21,43,16,114,97,-25,3.59,0.14,19,77
"February 17, 2019 / 2:34pm",Rawlings - Velo HS/Collegiate BBCor,43,40,66,67.4,20.8,56,6,116,102,-43,4.59,0.13,21.4,78
"February 17, 2019 / 2:33pm",Rawlings - Velo HS/Collegiate BBCor,49,59,52,65.1,13.9,64,11,97,93,-48,3.65,0.15,21.8,67
"February 17, 2019 / 2:33pm",Rawlings - Velo HS/Collegiate BBCor,52,47,58,68.6,16.9,68,6,107,101,-40,4.48,0.13,22,75
"February 17, 2019 / 2:33pm",Rawlings - Velo HS/Collegiate BBCor,50,53,59,65.3,17.4,65,3,103,97,-45,4.12,0.13,20.2,74
"February 17, 2019 / 2:33pm",Rawlings - Velo HS/Collegiate BBCor,56,49,53,65.4,14.1,73,5,102,103,-45,3.9,0.14,22.3,71
"February 17, 2019 / 2:20pm",Rawlings - Velo HS/Collegiate BBCor,45,56,45,58.9,10.1,59,8,101,95,-31,2.94,0.15,17.5,63
"February 17, 2019 / 2:20pm",Rawlings - Velo HS/Collegiate BBCor,43,58,47,54.7,11,56,23,96,96,-41,2.51,0.15,15.7,53
"February 17, 2019 / 2:20pm",Rawlings - Velo HS/Collegiate BBCor,55,58,45,58.1,10.2,71,3,86,82,-46,2.79,0.15,17.8,63
"February 17, 2019 / 2:20pm",Rawlings - Velo HS/Collegiate BBCor,53,65,50,56.9,12.3,69,2,93,91,-36,2.79,0.15,16.7,62
"February 17, 2019 / 2:20pm",Rawlings - Velo HS/Collegiate BBCor,57,61,43,56.1,8.7,73,2,87,85,-36,2.51,0.16,17.1,53
"February 17, 2019 / 2:20pm",Rawlings - Velo HS/Collegiate BBCor,55,61,45,59.1,9.9,71,0,95,86,-40,3.01,0.15,16.6,56
"February 17, 2019 / 2:19pm",Rawlings - Velo HS/Collegiate BBCor,57,55,50,62.4,12.8,73,-2,103,94,-39,3.49,0.14,19.3,60
"February 17, 2019 / 2:19pm",Rawlings - Velo HS/Collegiate BBCor,55,51,46,62.5,10.3,71,0,107,95,-44,3.32,0.15,19.9,58
"February 17, 2019 / 2:19pm",Rawlings - Velo HS/Collegiate BBCor,64,60,44,57.1,9.5,83,2,94,96,-34,2.88,0.14,18.3,65
"February 15, 2019 / 1:20pm",Rawlings - Velo HS/Collegiate BBCor,,,,67.7,,,5,,,-39,4.36,0.13,22.1,81
"February 15, 2019 / 1:20pm",Rawlings - Velo HS/Collegiate BBCor,,,,62.3,,,6,,,-39,3.99,0.12,21.9,84
"February 15, 2019 / 1:20pm",Rawlings - Velo HS/Collegiate BBCor,,,,70.1,,,7,,,-40,4.74,0.13,21.7,87
"February 12, 2019 / 5:44pm",Rawlings - Velo HS/Collegiate BBCor,59,45,58,60.5,17,76,16,76,74,-17,3.03,0.15,18.8,60
"February 12, 2019 / 5:38pm",Rawlings - Velo HS/Collegiate BBCor,58,64,55,67.6,15.3,75,13,86,90,-43,4.22,0.14,21.6,80
"February 12, 2019 / 5:31pm",Rawlings - Velo HS/Collegiate BBCor,62,41,32,36.7,3.4,81,-19,76,67,-34,1,0.17,16.9,38
"February 12, 2019 / 5:31pm",Rawlings - Velo HS/Collegiate BBCor,64,59,53,63.1,14.1,83,12,83,93,-30,3.63,0.14,21.1,73
"February 12, 2019 / 5:13pm",Rawlings - Velo HS/Collegiate BBCor,47,52,60,64.5,18,62,12,100,101,-33,4.02,0.13,20.8,76
"February 12, 2019 / 5:03pm",Rawlings - Velo HS/Collegiate BBCor,59,60,64,66.5,20.2,77,13,93,97,-34,4.78,0.12,22.2,84
"February 12, 2019 / 4:51pm",Rawlings - Velo HS/Collegiate BBCor,53,63,59,68.1,17.4,68,18,87,87,-28,4.29,0.14,21.6,76
"February 12, 2019 / 4:50pm",Rawlings - Velo HS/Collegiate BBCor,54,41,39,56.9,7,71,16,65,79,-22,2.64,0.16,17.5,55
"February 12, 2019 / 4:50pm",Rawlings - Velo HS/Collegiate BBCor,53,51,55,64.1,15.4,68,16,79,79,-28,3.64,0.14,20.3,67
"February 11, 2019 / 7:37am",Rawlings - Velo HS/Collegiate BBCor,51,66,56,59.4,15.6,67,16,90,92,-38,3.17,0.14,17.6,70
"February 11, 2019 / 7:37am",Rawlings - Velo HS/Collegiate BBCor,64,67,54,66.3,14.9,82,6,90,90,-30,4,0.14,21,74
"February 11, 2019 / 7:31am",Rawlings - Velo HS/Collegiate BBCor,52,49,62,66.8,18.7,68,3,104,101,-37,4.24,0.13,22.6,76
"February 11, 2019 / 7:30am",Rawlings - Velo HS/Collegiate BBCor,48,50,55,66.7,15.1,63,12,103,100,-36,3.94,0.14,22.3,79
"February 11, 2019 / 7:30am",Rawlings - Velo HS/Collegiate BBCor,48,56,50,66,12.5,63,11,97,98,-34,3.9,0.14,21,74
"February 11, 2019 / 7:30am",Rawlings - Velo HS/Collegiate BBCor,39,43,51,66.2,13.3,51,6,108,106,-37,3.88,0.14,23,72
"February 11, 2019 / 7:30am",Rawlings - Velo HS/Collegiate BBCor,59,64,59,57.1,17.3,77,1,90,95,-40,3.1,0.13,17.9,69
"February 11, 2019 / 7:29am",Rawlings - Velo HS/Collegiate BBCor,54,58,62,63.4,18.9,70,3,96,97,-36,3.77,0.14,22.7,74
"February 11, 2019 / 7:29am",Rawlings - Velo HS/Collegiate BBCor,40,65,59,64.5,17.5,52,12,92,91,-37,3.49,0.15,23.2,69
"February 11, 2019 / 7:29am",Rawlings - Velo HS/Collegiate BBCor,41,40,63,69.9,19.2,53,7,112,106,-36,4.57,0.14,23.4,77
"February 11, 2019 / 7:29am",Rawlings - Velo HS/Collegiate BBCor,50,57,60,66.6,17.8,65,4,97,97,-39,4.42,0.13,22.8,79
"February 11, 2019 / 7:29am",Rawlings - Velo HS/Collegiate BBCor,51,51,55,69,15.3,67,5,99,103,-42,4.4,0.14,22,71
"February 11, 2019 / 7:29am",Rawlings - Velo HS/Collegiate BBCor,47,52,52,63.6,13.4,62,10,103,98,-25,3.58,0.14,21.2,74
"February 11, 2019 / 7:29am",Rawlings - Velo HS/Collegiate BBCor,48,62,58,67.2,16.9,63,10,94,92,-36,4.11,0.14,22.1,77
"February 11, 2019 / 7:28am",Rawlings - Velo HS/Collegiate BBCor,58,63,44,62.6,9.3,75,6,91,86,-27,3.28,0.15,19.2,66
"February 11, 2019 / 7:21am",Rawlings - Velo HS/Collegiate BBCor,56,63,56,66.7,15.7,73,3,92,93,-41,4.23,0.13,21.7,70
"February 11, 2019 / 7:21am",Rawlings - Velo HS/Collegiate BBCor,48,63,55,66.1,15,63,9,92,94,-36,3.81,0.15,21.1,70
"February 11, 2019 / 7:21am",Rawlings - Velo HS/Collegiate BBCor,48,50,58,66.1,16.9,63,6,103,100,-37,4.04,0.14,23.3,77
"February 11, 2019 / 7:20am",Rawlings - Velo HS/Collegiate BBCor,48,54,55,70.2,15.3,63,11,104,94,-37,4.48,0.14,23.6,77
"February 11, 2019 / 7:20am",Rawlings - Velo HS/Collegiate BBCor,40,55,65,69.5,20.4,53,12,101,96,-41,4.47,0.14,23.3,79
"February 11, 2019 / 7:18am",Rawlings - Velo HS/Collegiate BBCor,45,55,45,56,10,59,5,99,98,-39,2.85,0.14,16.9,69
"February 11, 2019 / 7:18am",Rawlings - Velo HS/Collegiate BBCor,47,48,59,65,17.4,62,6,101,106,-46,3.85,0.14,21.4,75
"February 11, 2019 / 7:18am",Rawlings - Velo HS/Collegiate BBCor,54,50,61,66.1,18.6,70,4,103,100,-44,4.29,0.13,20.9,79
"February 11, 2019 / 7:18am",Rawlings - Velo HS/Collegiate BBCor,49,59,59,65.2,17.2,64,12,94,97,-46,4.05,0.13,20.6,85
"February 11, 2019 / 7:18am",Rawlings - Velo HS/Collegiate BBCor,60,54,59,62.5,17.4,78,10,78,95,-42,3.89,0.13,21.6,79
"February 11, 2019 / 7:17am",Rawlings - Velo HS/Collegiate BBCor,53,58,57,66.1,16.5,68,5,97,95,-37,3.98,0.14,21.5,74
"February 11, 2019 / 7:17am",Rawlings - Velo HS/Collegiate BBCor,48,52,59,62,17.2,62,12,99,102,-34,3.61,0.14,20,75
"February 7, 2019 / 12:03pm",Rawlings - Velo HS/Collegiate BBCor,48,59,49,64.7,12.3,63,9,94,97,-39,3.76,0.14,19.5,69
"February 7, 2019 / 12:03pm",Rawlings - Velo HS/Collegiate BBCor,40,62,59,66.6,17.5,53,17,95,92,-30,4.16,0.14,19.6,71
"February 7, 2019 / 12:03pm",Rawlings - Velo HS/Collegiate BBCor,51,57,44,66.9,9.7,66,13,100,87,-34,4.14,0.14,19.6,77
"February 7, 2019 / 12:02pm",Rawlings - Velo HS/Collegiate BBCor,55,57,50,66,12.8,71,6,102,91,-32,4.33,0.13,21.1,74
"February 7, 2019 / 12:02pm",Rawlings - Velo HS/Collegiate BBCor,63,61,42,60.7,8.7,81,2,82,91,-51,3.27,0.14,20,72
